30 1 5 5 670
716 307
3826 2730 3930 2040 2790 3690 0.01 
1 177 810 144 12 37 79 28 92 561 0.09 
2 314 640 132 98 88 92 21 55 504 0.16 
3 966 94 136 89 58 36 67 32 696 0.19 
4 629 110 104 45 27 38 90 25 764 0.04 
5 452 400 131 66 40 55 28 37 780 0.01 
6 656 278 120 59 22 75 94 57 453 0.01 
7 385 447 136 43 47 33 17 17 453 0.10 
8 482 516 140 90 25 17 53 82 660 0.11 
9 653 302 108 14 79 93 36 91 513 0.02 
10 224 185 128 93 42 52 38 74 492 0.04 
11 876 457 144 63 29 29 12 94 768 0.13 
12 91 702 145 45 84 98 82 25 640 0.02 
13 217 568 126 30 19 16 59 44 468 0.17 
14 418 326 124 79 32 84 85 25 465 0.08 
15 922 304 142 29 53 71 25 42 519 0.03 
16 228 946 131 71 71 79 46 38 716 0.17 
17 437 291 103 25 73 93 38 99 640 0.17 
18 290 262 139 81 14 15 14 97 597 0.14 
19 259 889 148 53 37 31 93 47 462 0.03 
20 352 648 117 48 37 58 50 46 764 0.06 
21 810 907 147 94 59 87 34 79 748 0.05 
22 578 965 110 70 96 94 47 81 688 0.06 
23 299 244 150 87 40 13 65 52 585 0.20 
24 923 508 102 67 34 33 24 32 772 0.02 
25 479 993 108 94 30 99 74 73 486 0.07 
26 25 804 112 100 67 96 89 73 756 0.09 
27 729 276 132 82 49 78 74 63 704 0.06 
28 791 505 103 29 55 89 96 18 612 0.05 
29 554 555 129 13 80 48 56 11 772 0.09 
30 713 69 135 43 60 50 44 85 784 0.12 
