50 5 3 7 9012
746 13
6270 6260 6065 6276 6300 3600 5550 5250 4150 2700 6000 5700 4000 4500 5600 5550 2950 6100 3750 6550 5400 3800 3800 6550 6800 4200 6150 3250 3750 5600 6350 3300 5800 2850 4550 6950 3950 5650 5150 5550 0.01 0.01 0.01 0.01 0.01 
1 25 751 109 104 106 108 138 67 84 41 26 56 85 97 18 87 45 93 84 18 82 51 48 34 83 28 75 67 28 28 67 79 12 99 33 44 25 45 89 61 93 79 3600 0.01 0.19 0.14 0.01 0.18 
2 358 623 133 147 119 139 150 34 30 19 60 86 86 39 52 17 15 12 91 34 45 69 85 27 23 64 84 92 95 17 73 49 16 58 40 77 11 50 63 48 79 27 2775 0.05 0.11 0.10 0.20 0.16 
3 129 382 109 137 141 125 128 73 11 49 56 93 77 13 50 13 66 59 95 95 36 96 50 94 74 28 83 21 88 48 31 37 93 19 60 71 99 73 25 37 75 23 2985 0.06 0.08 0.17 0.13 0.08 
4 673 64 105 132 132 107 121 73 56 40 17 66 92 94 22 30 57 82 42 74 53 46 67 28 72 42 56 62 94 85 58 15 63 39 27 84 56 94 11 100 49 65 3020 0.00 0.16 0.12 0.14 0.18 
5 713 176 134 112 110 109 105 32 67 18 39 28 79 32 88 36 27 27 14 65 62 20 63 21 21 27 83 41 37 54 88 33 58 31 100 49 17 18 29 48 39 82 3540 0.19 0.05 0.11 0.03 0.15 
6 175 902 129 116 106 123 136 65 96 95 48 36 85 74 34 59 36 17 58 67 55 74 73 63 64 55 88 42 90 24 80 54 68 66 32 61 27 32 49 63 95 27 2925 0.06 0.10 0.17 0.01 0.18 
7 164 419 138 150 144 133 101 54 21 39 93 53 95 45 36 50 85 53 72 69 14 90 52 12 47 30 49 13 55 27 56 15 18 13 89 76 28 16 80 74 50 97 2835 0.10 0.09 0.08 0.04 0.14 
8 374 912 134 110 133 101 112 24 13 91 25 16 77 69 32 73 53 87 61 65 62 32 41 65 33 89 26 22 81 85 46 49 98 13 20 15 100 87 20 38 55 55 2535 0.13 0.18 0.11 0.07 0.12 
9 552 135 127 105 114 107 103 48 68 91 25 41 35 95 71 95 74 73 14 85 39 71 11 93 78 55 14 56 63 47 27 73 30 23 75 42 27 81 34 51 75 11 3420 0.06 0.18 0.12 0.08 0.09 
10 393 498 116 117 118 117 129 94 20 80 97 27 45 21 23 83 45 36 19 11 29 81 53 90 17 15 62 37 59 22 50 46 23 44 71 53 12 65 31 47 76 46 3800 0.13 0.01 0.04 0.20 0.09 
11 267 726 121 148 110 117 110 56 80 73 70 68 12 80 13 25 54 46 47 22 50 76 71 46 51 68 57 61 54 41 41 70 59 15 38 46 62 36 14 26 15 96 2685 0.11 0.20 0.00 0.19 0.16 
12 286 306 112 146 111 140 143 62 38 17 18 50 16 23 98 83 53 12 72 19 48 44 13 11 48 60 80 28 57 44 72 74 59 59 22 49 28 79 88 85 54 82 3920 0.11 0.14 0.18 0.07 0.16 
13 428 265 148 106 110 134 139 44 36 97 76 53 57 32 28 57 96 77 69 68 25 98 64 71 51 97 53 76 88 35 23 71 68 11 17 36 65 39 78 21 22 77 2985 0.02 0.18 0.09 0.17 0.15 
14 643 643 113 123 125 114 144 96 92 93 100 29 74 50 49 72 73 49 78 36 75 64 14 15 75 81 43 95 99 83 58 41 19 46 89 89 81 66 18 16 15 22 3720 0.00 0.15 0.08 0.14 0.15 
15 933 618 148 111 109 131 135 14 61 26 98 55 30 59 39 51 98 37 39 11 25 28 32 77 84 44 82 59 36 26 88 54 76 21 90 71 15 91 78 87 49 15 3820 0.12 0.12 0.01 0.19 0.17 
16 747 643 145 114 121 123 125 78 27 44 60 38 23 85 62 91 80 72 80 73 95 63 72 32 63 38 47 13 49 44 16 66 84 49 15 28 100 72 17 22 57 73 3180 0.18 0.09 0.06 0.04 0.03 
17 428 388 138 110 149 139 147 45 52 51 81 55 93 29 98 85 33 99 51 46 78 69 84 24 25 56 100 75 96 52 87 100 65 76 23 28 25 41 72 17 21 21 3940 0.02 0.17 0.08 0.11 0.16 
18 451 932 144 119 123 150 111 74 76 46 73 50 56 31 42 30 18 18 95 68 35 60 58 78 70 30 96 79 22 75 55 15 35 54 95 81 40 85 30 47 15 35 3520 0.16 0.02 0.14 0.15 0.02 
19 295 928 136 109 108 144 145 80 42 62 37 20 77 48 83 14 33 36 98 82 68 28 50 35 32 74 65 70 64 11 28 49 13 52 81 83 95 70 54 33 17 51 2580 0.03 0.11 0.03 0.09 0.19 
20 32 347 101 111 138 141 109 44 70 35 60 39 92 24 71 24 94 22 95 89 56 59 61 73 27 12 77 89 31 19 56 81 28 42 41 11 65 72 39 56 47 81 3620 0.14 0.07 0.03 0.01 0.16 
21 644 371 110 127 113 115 142 81 51 21 19 91 99 40 54 72 27 85 12 39 47 62 37 74 99 18 52 59 94 27 57 91 73 81 48 32 21 23 74 19 14 73 2925 0.06 0.16 0.16 0.11 0.12 
22 196 440 149 138 114 145 129 30 53 41 34 63 73 27 30 69 13 100 68 17 83 81 57 86 85 81 100 21 98 49 76 94 43 30 65 34 95 48 86 30 26 64 3680 0.03 0.02 0.16 0.14 0.11 
23 67 447 144 141 117 101 138 28 13 33 27 23 68 24 44 18 56 25 34 32 49 69 34 100 84 50 100 29 99 32 53 43 12 19 33 73 18 98 47 75 73 60 3240 0.08 0.19 0.08 0.18 0.12 
24 10 617 143 130 107 113 118 59 93 19 58 22 76 56 80 51 96 50 73 76 22 35 58 17 98 18 76 39 60 56 25 44 15 34 52 27 22 72 90 49 28 84 2550 0.14 0.16 0.12 0.04 0.12 
25 644 78 126 125 125 140 140 40 90 57 15 28 45 27 59 60 40 45 63 93 23 64 12 23 43 85 93 62 59 16 82 51 91 22 38 11 46 86 81 80 12 16 2880 0.17 0.04 0.02 0.17 0.15 
26 160 807 150 113 140 146 150 25 99 83 17 23 59 27 41 67 70 14 56 51 67 88 47 84 90 14 36 13 59 78 13 57 80 17 17 67 90 62 41 100 40 20 2835 0.13 0.01 0.19 0.15 0.12 
27 325 217 123 123 135 139 148 54 20 63 79 74 24 90 26 46 82 84 52 37 51 50 43 93 42 15 84 90 79 55 78 78 25 98 37 69 89 47 42 13 36 44 3260 0.03 0.02 0.16 0.03 0.17 
28 263 237 132 104 106 120 119 73 47 12 19 36 99 87 76 27 57 73 53 25 41 61 34 96 87 67 75 71 38 97 100 55 78 67 53 13 16 20 90 14 97 31 2745 0.07 0.03 0.00 0.07 0.04 
29 494 873 129 135 131 131 130 67 52 47 42 22 42 31 93 76 86 59 80 87 23 97 12 89 55 33 29 67 32 83 14 26 55 69 96 20 94 52 83 35 35 53 3440 0.16 0.11 0.11 0.19 0.18 
30 133 440 121 122 117 117 113 65 79 88 84 97 49 15 14 82 85 72 77 96 81 99 25 57 33 68 88 46 25 76 33 27 53 19 83 87 70 52 83 18 56 24 3200 0.10 0.10 0.08 0.10 0.12 
31 134 829 119 141 115 137 143 58 38 20 45 74 66 21 51 38 53 59 72 22 46 63 80 11 71 55 73 60 69 39 21 44 78 64 86 54 95 31 27 61 94 27 3460 0.07 0.03 0.17 0.05 0.11 
32 728 232 105 132 113 102 112 84 65 94 19 76 60 77 71 72 44 86 58 83 39 13 55 64 96 34 26 40 89 83 35 96 67 81 45 46 91 72 21 50 48 77 2400 0.09 0.01 0.06 0.18 0.19 
