100 1 5 3 2180
842 357
12562 10200 9600 9100 0.01 
1 167 220 116 69 75 64 465 0.14 
2 793 931 106 80 38 19 708 0.10 
3 356 332 101 95 69 27 549 0.04 
4 851 87 128 69 96 28 744 0.04 
5 465 502 108 68 79 78 480 0.01 
6 130 598 117 24 55 26 724 0.02 
7 142 645 113 78 83 45 652 0.02 
8 562 397 134 15 26 39 459 0.16 
9 532 788 119 57 61 23 498 0.19 
10 508 127 130 22 18 51 780 0.12 
11 349 841 142 35 80 32 492 0.01 
12 28 700 128 38 50 94 636 0.11 
13 104 346 139 99 85 23 704 0.06 
14 727 791 106 67 90 85 552 0.06 
15 625 790 107 74 39 21 591 0.16 
16 655 539 146 15 65 79 495 0.06 
17 499 18 128 40 37 14 585 0.12 
18 998 611 104 20 87 76 772 0.15 
19 403 967 118 18 81 17 628 0.16 
20 993 84 145 33 54 55 495 0.15 
21 343 56 143 53 47 47 567 0.13 
22 83 275 115 13 37 78 660 0.07 
23 522 128 126 26 44 90 537 0.06 
24 375 489 127 13 72 82 736 0.07 
25 583 935 138 20 85 43 672 0.07 
26 18 874 140 54 66 91 582 0.10 
27 340 743 111 83 80 27 648 0.12 
28 171 256 125 33 95 11 736 0.03 
29 820 821 113 88 68 60 546 0.08 
30 734 522 108 82 99 30 692 0.03 
31 175 902 110 65 58 13 608 0.04 
32 676 624 126 80 85 86 648 0.17 
33 451 558 117 15 72 37 585 0.18 
34 980 214 142 19 67 85 684 0.18 
35 210 639 126 13 95 53 552 0.11 
36 792 720 120 94 29 36 525 0.18 
37 363 802 112 84 33 14 692 0.18 
38 418 83 136 79 50 15 582 0.14 
39 36 799 149 58 72 24 660 0.08 
40 70 466 116 53 34 53 474 0.08 
41 135 346 123 79 19 63 796 0.06 
42 472 552 138 85 35 36 522 0.13 
43 295 603 107 38 59 11 543 0.13 
44 426 104 112 45 25 26 620 0.05 
45 877 879 147 79 75 90 567 0.00 
46 624 672 107 42 62 74 676 0.12 
47 32 59 148 93 26 90 680 0.02 
48 24 411 135 49 38 98 712 0.09 
49 445 819 112 91 48 61 760 0.16 
50 885 542 131 19 92 17 748 0.19 
51 225 832 118 86 61 56 576 0.01 
52 93 582 142 79 100 67 728 0.09 
53 651 309 106 84 91 68 684 0.09 
54 679 548 117 35 74 55 644 0.14 
55 557 58 129 57 37 66 668 0.01 
56 530 986 115 80 50 34 704 0.03 
57 273 204 126 55 34 80 474 0.03 
58 293 186 128 90 88 45 492 0.17 
59 474 212 141 90 30 66 644 0.19 
60 60 34 148 72 19 35 740 0.19 
61 642 441 137 81 63 80 492 0.07 
62 868 426 133 75 45 15 708 0.11 
63 573 5 130 86 92 21 525 0.18 
64 280 64 139 33 50 36 768 0.03 
65 931 678 116 35 43 77 600 0.19 
66 357 484 144 38 50 17 531 0.10 
67 272 213 120 65 13 49 740 0.10 
68 361 148 102 48 81 36 788 0.13 
69 274 770 141 91 94 73 728 0.16 
70 806 246 136 30 41 50 558 0.05 
71 684 839 133 58 54 52 724 0.12 
72 744 99 128 47 74 91 462 0.13 
73 569 631 125 33 34 24 555 0.10 
74 914 263 115 37 16 18 549 0.02 
75 800 748 120 51 34 60 516 0.15 
76 338 561 140 41 30 65 660 0.19 
77 77 931 142 79 85 51 652 0.10 
78 616 514 127 62 95 38 594 0.15 
79 321 840 119 61 81 15 543 0.10 
80 438 337 103 12 57 91 780 0.17 
81 307 430 116 65 68 37 724 0.00 
82 22 523 120 36 35 29 620 0.03 
83 781 127 103 23 97 56 712 0.16 
84 919 365 150 30 99 16 459 0.12 
85 13 813 131 39 75 65 579 0.05 
86 863 803 146 13 20 18 486 0.11 
87 258 609 106 96 79 68 640 0.01 
88 157 207 125 38 35 79 700 0.10 
89 159 683 122 47 89 51 489 0.15 
90 234 206 145 60 73 68 720 0.07 
91 590 167 148 97 68 36 660 0.19 
92 420 376 101 74 99 35 591 0.17 
93 16 19 127 93 24 19 519 0.11 
94 684 179 133 15 79 27 748 0.02 
95 257 507 111 21 33 80 632 0.05 
96 150 134 130 22 30 18 519 0.13 
97 583 989 132 40 56 92 608 0.14 
98 635 846 132 53 34 36 704 0.08 
99 56 207 121 52 93 54 704 0.16 
100 466 87 148 81 15 100 558 0.05 
