30 5 5 5 3354
980 808
3695 3842 3805 3745 3901 2580 3270 1980 2490 2940 1530 2940 3780 1890 2550 1680 3300 1680 2400 3120 2730 3870 1560 3390 2880 1980 1560 3900 4020 1920 0.01 0.01 0.01 0.01 0.01 
1 434 558 135 135 118 123 133 13 15 92 92 66 66 23 91 13 73 65 59 94 69 46 77 32 62 87 51 24 62 58 33 55 2940 0.05 0.09 0.03 0.16 0.05 
2 107 213 101 149 122 142 103 94 67 53 80 31 35 51 98 53 28 66 66 31 88 80 46 12 36 30 89 19 15 29 25 18 2775 0.07 0.14 0.12 0.01 0.04 
3 477 595 138 140 105 148 130 96 32 13 76 87 97 75 47 40 72 66 53 88 99 23 28 37 24 62 83 63 29 31 45 27 3200 0.16 0.05 0.16 0.04 0.11 
4 110 799 112 133 146 128 138 88 37 67 50 54 89 53 84 43 70 18 83 55 45 97 27 94 14 27 23 100 45 79 69 34 2775 0.10 0.18 0.09 0.11 0.05 
5 142 398 105 125 101 109 132 90 95 81 24 13 68 47 22 93 26 59 94 27 36 93 66 23 46 93 39 56 74 82 25 79 3520 0.01 0.18 0.11 0.09 0.18 
6 113 905 117 134 107 127 122 94 17 54 98 65 24 52 91 37 17 72 61 42 42 69 24 83 46 57 19 85 76 60 25 58 2940 0.03 0.16 0.01 0.10 0.07 
7 739 128 125 138 133 115 150 48 50 55 13 73 97 15 73 63 80 60 88 78 77 73 88 49 63 61 54 40 65 65 74 22 2730 0.16 0.16 0.11 0.06 0.06 
8 951 184 136 118 140 143 117 95 72 48 64 84 41 60 60 45 47 97 97 14 24 36 78 62 93 17 73 47 90 78 49 21 3000 0.13 0.17 0.18 0.15 0.13 
9 959 53 109 127 140 101 134 53 57 51 13 15 68 28 34 87 57 79 25 19 81 61 59 62 33 97 31 69 89 71 62 83 2520 0.11 0.14 0.15 0.17 0.16 
10 239 712 145 109 109 122 134 52 56 31 88 34 59 67 58 70 77 92 35 91 43 94 65 17 23 98 35 88 92 64 44 20 2985 0.15 0.18 0.20 0.11 0.13 
11 538 263 113 125 122 125 116 95 80 59 13 33 55 65 76 33 29 98 79 69 21 28 74 61 31 59 29 38 70 57 54 17 2790 0.09 0.02 0.09 0.09 0.16 
12 802 252 123 142 113 131 125 56 93 65 90 52 58 62 60 31 88 14 46 52 98 73 54 78 79 72 13 68 48 95 49 28 2745 0.02 0.11 0.01 0.08 0.04 
13 758 43 117 129 123 126 145 92 15 62 25 18 66 16 32 39 59 69 30 64 100 50 56 88 42 73 72 82 72 41 42 14 2640 0.11 0.13 0.11 0.13 0.17 
14 582 633 144 123 128 120 150 47 79 53 45 47 98 98 35 23 16 54 78 46 20 21 12 52 73 27 20 98 76 90 34 91 2970 0.05 0.10 0.10 0.01 0.05 
15 858 733 108 132 120 119 107 42 95 71 16 49 13 20 20 20 21 45 89 33 64 86 15 20 51 45 89 52 72 24 58 78 2760 0.11 0.18 0.10 0.10 0.17 
16 203 659 103 130 121 119 124 93 50 35 16 84 38 99 99 88 14 90 48 20 80 51 94 61 58 52 74 56 19 56 99 54 2880 0.07 0.11 0.03 0.20 0.07 
17 538 42 112 124 108 103 124 33 43 73 54 84 63 63 22 43 18 52 21 59 32 67 78 27 73 63 90 88 88 89 59 22 3360 0.15 0.17 0.11 0.01 0.02 
18 608 865 143 109 118 122 110 34 43 43 20 46 68 68 71 87 45 60 97 39 82 47 32 95 89 65 74 92 25 70 12 37 3700 0.19 0.10 0.04 0.05 0.09 
