30 5 5 3 3318
459 366
3871 3787 3736 3666 3786 3060 2520 3870 2520 2550 3510 1530 3300 3150 2250 2130 2400 3510 3990 3360 0.01 0.01 0.01 0.01 0.01 
1 839 614 110 143 136 122 131 93 70 12 38 40 64 61 52 41 21 54 38 48 53 14 2760 0.13 0.15 0.09 0.14 0.19 
2 677 642 131 139 126 130 147 32 27 59 80 50 80 65 25 69 55 64 27 53 90 97 2325 0.11 0.11 0.00 0.07 0.20 
3 978 567 148 134 142 112 143 60 44 34 54 76 18 18 26 58 47 26 76 42 87 15 2925 0.08 0.14 0.13 0.19 0.14 
4 500 235 117 149 101 138 112 43 11 19 34 47 82 16 75 68 33 89 29 64 81 41 2505 0.18 0.18 0.10 0.12 0.11 
5 48 487 121 117 114 113 115 51 80 28 89 56 36 38 87 92 54 74 86 93 85 58 3140 0.13 0.15 0.20 0.10 0.05 
6 281 218 125 121 144 105 126 33 24 88 94 91 53 78 91 38 82 54 70 91 12 99 2865 0.14 0.05 0.05 0.09 0.05 
7 941 414 135 118 102 113 133 69 49 94 88 58 90 62 90 56 80 71 85 40 91 23 3200 0.06 0.09 0.09 0.11 0.14 
8 385 374 118 134 132 134 103 58 82 86 75 82 45 71 75 45 82 48 53 32 75 44 3200 0.02 0.08 0.03 0.11 0.17 
9 293 751 133 120 112 107 113 29 42 92 79 49 89 46 73 82 69 94 15 46 18 38 3020 0.07 0.16 0.20 0.15 0.19 
10 513 374 110 132 127 136 102 96 88 12 42 64 68 53 28 39 61 100 45 14 51 14 3620 0.14 0.06 0.05 0.10 0.06 
11 58 82 149 144 118 132 113 50 97 42 99 31 82 89 24 28 52 94 28 91 86 17 3180 0.10 0.03 0.15 0.16 0.08 
12 46 468 148 107 127 146 119 91 43 62 75 12 48 84 23 45 41 64 100 44 13 76 2700 0.16 0.13 0.13 0.19 0.08 
13 33 513 127 106 120 120 121 93 29 89 42 38 23 37 70 79 66 37 80 36 65 63 2445 0.14 0.07 0.04 0.07 0.00 
14 230 750 150 150 128 143 145 20 82 38 32 24 32 89 27 48 57 87 23 28 42 70 3120 0.15 0.02 0.11 0.01 0.06 
15 631 427 124 138 109 123 121 33 96 60 85 50 88 33 47 48 46 95 95 18 39 12 3800 0.07 0.01 0.14 0.10 0.12 
16 513 694 121 123 133 127 121 94 23 82 34 48 35 35 85 57 32 95 68 51 90 86 3480 0.10 0.04 0.09 0.10 0.18 
17 248 647 142 123 130 103 128 98 63 89 44 39 96 26 30 67 39 89 31 57 99 36 3280 0.16 0.16 0.05 0.00 0.06 
18 461 615 146 104 119 101 149 94 64 77 14 11 52 58 46 19 13 18 67 91 52 99 2955 0.02 0.07 0.17 0.18 0.13 
19 710 906 127 120 126 112 145 32 31 40 60 47 50 50 44 17 14 45 88 64 40 12 3620 0.14 0.03 0.01 0.02 0.00 
20 201 497 133 114 104 128 139 51 29 21 58 57 44 59 93 96 61 81 57 30 68 21 2265 0.00 0.05 0.07 0.03 0.06 
21 508 5 149 117 130 138 124 31 71 50 81 72 58 16 13 85 98 38 73 85 30 59 3840 0.15 0.14 0.03 0.00 0.02 
22 632 458 115 128 136 140 138 95 56 26 95 26 45 73 34 33 70 45 73 17 13 96 2565 0.07 0.14 0.10 0.01 0.17 
23 16 768 105 142 131 107 136 60 39 53 16 70 61 66 78 94 63 69 21 94 70 65 3340 0.00 0.16 0.02 0.14 0.05 
24 802 20 134 118 111 109 117 94 75 38 79 94 52 54 73 14 28 54 83 26 41 42 2325 0.10 0.11 0.14 0.05 0.12 
25 204 337 141 113 145 108 144 95 11 46 90 30 100 71 47 36 12 19 22 91 60 33 3820 0.03 0.12 0.15 0.13 0.06 
26 424 789 110 142 121 111 103 97 65 25 11 45 11 44 84 14 71 60 44 71 51 84 2790 0.08 0.10 0.15 0.00 0.05 
27 933 756 121 111 103 140 133 67 53 36 67 47 83 48 26 45 81 77 15 20 46 11 2865 0.06 0.13 0.16 0.16 0.08 
28 280 344 103 139 146 125 114 79 25 13 13 86 11 68 63 48 59 30 26 87 56 97 2520 0.03 0.13 0.18 0.16 0.08 
29 756 484 142 117 140 142 134 58 47 85 12 67 74 67 23 16 22 51 78 67 65 80 2295 0.10 0.15 0.11 0.02 0.12 
30 936 389 136 124 123 101 117 90 31 12 16 36 89 99 75 53 81 34 85 11 78 49 3740 0.16 0.20 0.09 0.11 0.11 
