50 1 1 7 5678
401 588
6307 3200 3050 2600 6200 6400 3900 6150 0.01 
1 986 810 109 38 78 16 38 68 17 77 716 0.04 
2 969 747 126 45 73 72 57 34 91 92 477 0.07 
3 596 801 136 13 98 13 38 41 93 15 680 0.10 
4 882 793 124 70 20 89 19 72 33 81 597 0.11 
5 769 710 105 25 73 93 36 81 96 33 489 0.06 
6 483 692 147 57 75 12 15 89 34 76 616 0.02 
7 560 42 118 92 40 66 24 25 42 86 628 0.06 
8 248 368 139 49 14 89 38 26 97 65 573 0.18 
9 112 995 125 95 38 79 31 70 70 22 495 0.02 
10 611 165 123 85 100 60 36 24 98 91 632 0.06 
11 719 555 144 24 56 48 52 74 94 79 744 0.04 
12 945 950 144 70 38 14 52 33 89 14 498 0.08 
13 337 468 147 42 33 42 83 68 17 38 504 0.07 
14 861 142 106 88 87 54 89 72 23 26 708 0.09 
15 580 645 104 91 60 36 18 41 67 40 486 0.12 
16 902 823 147 49 16 38 36 34 77 74 588 0.15 
17 986 166 150 29 81 49 100 75 91 22 712 0.14 
18 145 849 132 82 48 66 72 63 66 39 612 0.06 
19 113 117 136 97 22 93 40 98 21 72 772 0.00 
20 140 746 130 86 87 78 75 23 59 22 648 0.10 
21 624 91 138 47 34 56 24 76 53 87 616 0.05 
22 751 457 108 64 12 70 99 99 55 85 507 0.17 
23 689 928 129 30 65 44 92 93 80 25 692 0.19 
24 716 202 105 48 25 49 14 96 12 15 724 0.04 
25 408 662 119 90 96 41 44 45 22 98 489 0.04 
26 672 241 109 65 31 57 44 39 94 20 748 0.11 
27 546 902 123 55 28 93 91 73 45 48 534 0.18 
28 510 196 119 78 79 32 56 31 86 38 483 0.10 
29 104 935 114 80 58 11 43 41 55 60 712 0.12 
30 482 556 135 59 79 61 85 53 38 26 704 0.14 
31 780 170 150 55 91 20 97 100 90 16 768 0.17 
32 291 698 103 14 65 50 100 12 60 79 585 0.13 
33 677 272 109 49 71 83 22 59 37 64 489 0.16 
34 290 132 115 41 73 69 73 94 72 37 513 0.14 
35 340 512 146 51 84 56 24 54 95 84 564 0.13 
36 10 438 106 46 84 72 73 46 12 98 492 0.14 
37 223 65 132 59 91 15 22 95 55 57 640 0.11 
38 767 20 131 63 98 49 84 60 85 29 796 0.17 
39 563 766 115 57 72 17 19 71 27 99 594 0.13 
40 219 525 109 11 84 14 66 71 67 63 768 0.02 
41 4 380 125 64 97 39 31 77 86 93 582 0.12 
42 406 67 111 89 99 84 34 17 85 69 456 0.12 
43 793 468 146 92 90 54 73 98 17 69 480 0.05 
44 522 77 114 15 20 91 59 60 41 19 660 0.05 
45 540 770 146 81 24 78 97 23 69 49 604 0.15 
46 235 929 137 24 95 44 57 35 48 66 534 0.12 
47 757 248 147 34 43 89 18 30 32 31 480 0.06 
48 880 215 101 19 25 33 69 48 46 63 462 0.15 
49 357 254 149 75 47 85 92 19 18 35 620 0.12 
50 912 772 124 60 40 81 39 90 90 16 564 0.18 
