20 3 5 5 1350
778 687
2380 2594 2570 1640 1820 2040 1780 1100 1560 1260 1440 2200 2600 2720 2400 1060 1620 1560 0.01 0.01 0.01 
1 807 39 133 106 142 19 99 29 96 25 34 25 92 47 91 13 11 48 27 100 1584 0.10 0.14 0.04 
2 971 347 110 121 129 91 32 60 43 70 51 30 88 98 96 84 20 44 30 100 2340 0.17 0.18 0.05 
3 238 389 106 126 136 57 58 77 75 96 65 79 77 60 100 100 29 34 60 24 1647 0.16 0.17 0.04 
4 875 181 109 132 126 97 98 22 20 41 66 89 45 92 46 57 24 91 68 24 2268 0.01 0.13 0.04 
5 776 561 119 141 101 54 56 48 90 66 48 64 71 19 56 37 44 88 28 41 1584 0.06 0.09 0.12 
6 129 885 143 140 113 23 37 51 44 75 88 30 22 39 86 76 11 40 47 56 2076 0.11 0.13 0.16 
7 971 579 121 126 138 88 23 70 69 39 44 27 84 77 91 26 73 69 54 20 1944 0.18 0.14 0.05 
8 457 72 128 112 122 68 71 41 12 92 51 14 40 20 94 53 21 55 29 63 1395 0.05 0.10 0.19 
9 449 183 111 131 132 15 27 100 32 28 51 88 44 14 41 55 45 80 64 38 2016 0.04 0.06 0.18 
10 449 655 116 110 146 49 29 84 45 78 11 94 28 32 21 35 60 63 38 91 1656 0.05 0.19 0.09 
11 595 656 117 130 136 76 58 64 90 17 90 87 42 86 65 87 58 77 70 31 2328 0.02 0.13 0.05 
12 60 363 103 105 147 70 72 76 98 72 35 81 16 24 49 65 35 58 51 51 1431 0.19 0.08 0.15 
13 351 929 145 145 136 74 51 87 58 78 79 49 92 76 72 100 52 12 75 90 1728 0.02 0.14 0.14 
14 952 482 112 147 134 77 27 39 19 19 83 59 80 40 36 70 36 88 46 60 1773 0.15 0.12 0.00 
15 16 951 137 147 144 81 78 56 59 22 88 38 65 96 46 40 56 38 31 43 1812 0.01 0.11 0.04 
16 493 650 127 120 103 42 94 55 46 97 26 36 24 36 47 23 36 15 19 33 2280 0.07 0.03 0.00 
17 242 170 109 132 135 92 87 46 70 95 11 89 74 46 47 23 72 56 49 71 1836 0.08 0.18 0.12 
18 927 746 123 138 125 20 13 13 82 78 73 26 20 42 20 95 98 63 40 96 1980 0.09 0.06 0.17 
19 234 466 102 146 114 99 19 100 79 83 51 47 84 32 24 94 91 67 87 11 2172 0.08 0.03 0.12 
20 202 339 109 139 111 75 66 81 26 75 24 83 58 55 28 95 64 74 78 40 1932 0.07 0.17 0.00 
