30 1 5 5 660
343 407
3832 3960 2880 3180 2190 1680 0.01 
1 195 396 108 32 42 88 79 19 519 0.07 
2 112 0 106 65 88 42 64 35 724 0.02 
3 918 700 129 14 61 71 58 62 784 0.05 
4 980 104 147 23 77 11 30 100 495 0.05 
5 694 759 126 44 14 89 19 44 800 0.19 
6 376 904 131 79 53 11 50 68 495 0.02 
7 457 904 143 94 68 56 30 92 772 0.09 
8 56 17 110 89 89 41 77 80 788 0.16 
9 199 434 116 32 78 98 84 52 788 0.10 
10 327 732 139 66 51 86 50 35 564 0.01 
11 9 395 139 16 14 34 87 50 534 0.18 
12 996 224 147 86 75 98 11 51 800 0.14 
13 959 547 125 29 76 99 98 25 489 0.02 
14 385 680 138 42 78 20 53 86 507 0.06 
15 697 350 127 40 26 54 27 87 680 0.09 
16 377 107 130 12 37 28 66 61 620 0.02 
17 228 159 111 48 20 15 35 50 564 0.19 
18 695 153 144 36 37 29 13 86 692 0.16 
19 649 764 124 61 72 65 82 98 543 0.10 
20 136 738 121 77 45 76 57 12 760 0.06 
21 970 571 111 90 29 86 83 34 597 0.18 
22 594 259 146 31 35 59 74 97 636 0.05 
23 749 81 125 77 84 13 17 75 567 0.04 
24 916 448 145 100 65 95 11 43 501 0.09 
25 983 893 113 19 22 67 84 72 591 0.08 
26 407 735 150 39 82 18 53 22 676 0.17 
27 51 539 114 77 80 90 24 98 656 0.09 
28 736 410 141 11 28 81 35 64 477 0.04 
29 893 377 123 81 41 32 93 59 780 0.10 
30 800 189 103 61 27 15 35 90 543 0.05 
