50 1 1 5 5580
556 577
6334 4850 6100 3050 6000 3600 0.01 
1 231 716 128 81 73 12 60 41 483 0.02 
2 538 817 119 46 30 85 91 52 591 0.08 
3 851 452 106 61 60 67 15 44 640 0.06 
4 143 746 129 22 92 83 81 14 716 0.04 
5 693 801 148 12 37 90 71 33 552 0.01 
6 671 587 123 94 80 56 39 41 507 0.20 
7 497 713 150 59 54 81 50 54 788 0.03 
8 892 218 120 37 90 48 85 53 720 0.07 
9 497 157 136 66 81 52 91 81 708 0.19 
10 90 813 118 85 27 51 47 45 696 0.17 
11 798 589 116 92 57 58 91 16 688 0.04 
12 624 372 126 37 71 33 64 38 594 0.04 
13 358 971 112 24 51 79 53 34 712 0.12 
14 233 681 136 43 80 57 70 43 585 0.12 
15 232 530 139 40 97 21 15 27 480 0.01 
16 610 571 122 51 95 56 82 92 507 0.05 
17 318 355 136 64 30 16 29 36 504 0.13 
18 410 562 144 21 46 82 49 75 543 0.02 
19 151 203 129 41 95 27 44 23 597 0.04 
20 194 224 120 37 32 41 92 72 652 0.09 
21 289 112 117 60 14 21 23 76 474 0.15 
22 532 589 119 26 86 95 36 74 531 0.02 
23 429 847 133 64 36 83 63 80 573 0.13 
24 783 907 101 80 64 23 68 23 561 0.16 
25 733 348 101 39 31 23 57 77 570 0.15 
26 375 33 122 83 58 78 67 89 748 0.15 
27 180 319 120 86 86 16 48 14 732 0.03 
28 216 221 129 31 68 97 71 99 692 0.06 
29 527 791 131 45 33 92 18 19 483 0.17 
30 801 906 124 82 65 25 51 47 688 0.19 
31 172 268 119 92 65 75 60 49 477 0.07 
32 171 245 107 63 82 59 83 24 597 0.19 
33 687 22 133 35 94 94 100 15 555 0.16 
34 500 814 107 16 60 11 36 38 788 0.05 
35 944 517 139 13 93 59 50 13 716 0.19 
36 517 429 140 40 97 92 42 91 549 0.08 
37 248 256 110 66 65 77 32 23 528 0.08 
38 194 588 145 32 80 42 21 38 558 0.07 
39 517 113 121 28 79 21 69 51 692 0.10 
40 805 675 110 40 60 18 69 35 585 0.10 
41 85 879 138 99 88 34 86 96 676 0.11 
42 75 656 141 50 45 60 13 69 656 0.09 
43 131 104 150 93 26 94 84 20 696 0.04 
44 315 90 142 39 49 70 48 98 531 0.17 
45 214 763 147 33 28 89 75 84 513 0.13 
46 192 565 101 46 51 14 18 54 549 0.18 
47 343 260 119 87 50 53 88 26 510 0.15 
48 177 266 124 100 19 56 46 31 513 0.20 
49 806 849 137 82 55 80 34 67 453 0.14 
50 74 730 150 46 76 47 74 87 465 0.02 
