30 1 1 5 3300
586 546
3669 2910 1530 2160 2520 2340 0.01 
1 639 94 108 75 23 100 35 49 632 0.13 
2 854 213 121 41 59 21 34 14 528 0.17 
3 408 379 119 87 53 44 23 70 459 0.11 
4 459 711 139 86 73 48 46 100 716 0.03 
5 858 450 120 36 55 27 76 43 543 0.01 
6 709 547 139 98 93 52 69 15 489 0.10 
7 156 578 110 75 75 77 85 14 570 0.14 
8 740 914 141 58 63 73 69 95 462 0.00 
9 477 738 143 75 51 71 13 95 486 0.15 
10 180 173 138 29 12 64 60 64 732 0.15 
11 989 498 132 91 31 58 94 54 558 0.14 
12 33 855 138 58 54 34 33 97 736 0.17 
13 721 658 110 72 14 79 59 56 676 0.12 
14 363 326 112 53 75 44 37 52 664 0.11 
15 800 69 147 84 18 44 93 43 570 0.07 
16 960 158 105 64 82 97 44 20 531 0.18 
17 376 916 104 38 17 31 60 83 608 0.13 
18 540 679 135 55 99 69 12 98 471 0.12 
19 849 902 146 93 84 21 59 22 684 0.08 
20 902 857 104 24 91 57 37 62 796 0.10 
21 777 237 116 32 56 26 39 43 522 0.10 
22 412 697 124 19 36 91 34 78 792 0.18 
23 981 541 111 12 82 62 77 82 800 0.07 
24 366 389 110 76 90 24 21 75 507 0.19 
25 974 104 107 79 51 18 74 30 608 0.08 
26 382 934 122 77 22 36 20 13 712 0.16 
27 174 400 114 18 55 80 27 63 525 0.17 
28 713 26 136 82 18 62 60 89 664 0.15 
29 233 937 115 30 23 99 43 30 660 0.18 
30 180 310 103 60 22 32 95 78 712 0.18 
