20 5 1 3 11274
23 107
2531 2474 2570 2548 2598 1720 2640 1460 1260 1700 2780 1920 2240 1160 1680 2040 1900 2700 1040 2240 0.01 0.01 0.01 0.01 0.01 
1 522 565 124 109 144 104 150 49 100 23 77 52 59 50 82 29 89 18 13 82 12 97 2955 0.04 0.07 0.12 0.06 0.08 
2 60 52 147 113 141 108 103 86 68 54 80 29 24 77 32 84 51 58 61 22 55 91 3060 0.15 0.16 0.01 0.02 0.08 
3 468 820 109 149 139 143 134 80 96 88 11 35 78 48 23 57 96 67 71 28 81 27 2715 0.18 0.15 0.02 0.14 0.16 
4 263 212 115 107 150 132 135 70 21 30 61 29 27 58 97 84 54 14 66 75 70 51 3160 0.11 0.09 0.15 0.07 0.11 
5 589 757 123 104 104 119 149 100 94 42 76 59 33 75 69 13 14 73 39 90 100 43 2295 0.20 0.18 0.18 0.09 0.13 
6 919 190 128 122 115 135 113 95 42 39 74 63 63 85 18 58 21 43 18 71 77 34 3220 0.03 0.19 0.14 0.01 0.17 
7 357 99 150 120 106 148 129 18 69 45 98 84 75 99 58 97 15 11 78 71 74 70 3340 0.06 0.13 0.13 0.05 0.07 
8 586 115 144 149 128 103 148 76 80 48 76 87 93 61 15 57 11 25 74 54 73 85 2745 0.01 0.09 0.04 0.14 0.02 
9 22 552 122 132 113 130 141 41 87 41 34 36 47 29 95 84 14 91 85 26 47 33 3240 0.04 0.17 0.04 0.13 0.01 
10 931 832 138 146 109 149 142 40 48 75 40 46 11 44 34 46 17 68 94 14 73 36 3900 0.00 0.17 0.08 0.17 0.02 
11 866 969 104 108 146 146 149 94 74 24 11 91 85 53 12 42 47 70 44 25 92 69 2370 0.14 0.13 0.17 0.11 0.02 
12 997 57 129 108 139 131 113 56 42 96 55 51 81 87 79 50 20 78 35 21 53 17 2445 0.03 0.02 0.16 0.17 0.19 
13 373 48 121 146 124 113 131 58 79 45 74 26 58 96 55 63 56 51 45 37 37 44 3860 0.12 0.06 0.12 0.15 0.03 
14 759 522 101 123 112 116 127 13 94 19 38 59 17 16 82 49 44 74 68 71 90 35 2775 0.16 0.02 0.11 0.03 0.14 
15 614 247 131 117 117 118 146 78 78 15 48 48 98 54 13 64 13 76 83 95 28 98 2760 0.13 0.08 0.05 0.15 0.19 
16 921 260 131 101 138 117 114 81 28 15 84 37 58 34 16 36 70 23 90 95 80 91 3540 0.20 0.05 0.02 0.08 0.10 
17 90 680 116 141 147 111 104 47 61 42 65 52 99 61 82 76 69 26 36 15 84 37 2610 0.13 0.17 0.18 0.18 0.18 
18 762 102 132 145 147 150 102 40 11 79 94 94 16 54 58 96 85 62 56 49 88 67 3300 0.01 0.16 0.13 0.18 0.14 
19 943 294 140 126 131 148 124 18 53 14 83 55 64 22 60 81 17 30 16 75 67 68 2445 0.05 0.05 0.06 0.02 0.18 
20 974 149 126 108 120 127 144 72 26 54 82 76 58 39 85 100 28 30 57 87 76 73 3120 0.12 0.06 0.03 0.17 0.12 
