100 3 1 7 33526
854 77
12608 12456 12554 11000 10200 9300 7700 10900 7200 6900 6600 13900 9700 9700 13200 8500 13600 6700 7700 10300 10700 10200 11800 10400 0.01 0.01 0.01 
1 374 91 111 112 114 15 20 72 90 38 89 70 87 64 54 25 78 93 53 76 20 16 92 63 30 69 1629 0.13 0.20 0.03 
2 132 219 123 112 149 59 86 86 48 23 74 69 60 32 88 36 99 81 40 18 12 87 99 64 68 29 1629 0.05 0.05 0.13 
3 226 893 145 127 134 86 28 15 85 41 40 54 52 75 25 77 36 57 69 64 70 56 63 85 75 81 2340 0.19 0.11 0.04 
4 908 491 105 149 137 51 46 90 36 38 29 79 70 15 79 99 40 35 29 88 88 16 12 72 80 45 2100 0.06 0.19 0.06 
5 93 405 108 147 106 66 64 81 91 54 99 31 31 87 86 81 79 72 99 21 86 82 23 19 61 19 2004 0.19 0.00 0.16 
6 120 47 101 106 139 61 29 16 13 72 67 33 87 72 26 29 50 49 27 60 64 59 34 72 71 42 1602 0.02 0.02 0.17 
7 673 978 104 133 128 69 40 23 71 63 41 56 79 27 71 97 66 20 23 31 76 91 54 100 61 47 1692 0.10 0.01 0.02 
8 337 339 141 127 109 34 65 23 95 28 54 50 32 28 43 29 83 14 93 34 31 67 39 30 79 75 1611 0.13 0.14 0.19 
9 440 362 101 116 141 74 42 82 68 59 35 69 19 86 26 89 68 29 81 15 63 62 43 82 93 70 1956 0.12 0.19 0.16 
10 64 798 126 124 117 16 45 54 35 55 41 94 49 79 53 37 99 71 69 75 32 18 70 65 62 39 1968 0.05 0.12 0.04 
11 762 796 131 126 127 43 59 62 67 14 54 22 92 53 83 80 13 15 11 42 32 65 11 48 78 91 1932 0.08 0.05 0.14 
12 277 53 127 103 116 79 72 41 98 75 84 19 38 23 49 69 25 15 69 46 90 37 46 90 15 88 1884 0.03 0.12 0.08 
13 697 476 143 115 105 89 71 56 86 97 92 56 29 69 63 87 83 68 56 13 97 44 11 48 100 88 1494 0.07 0.01 0.02 
14 849 45 131 108 131 97 70 32 44 67 75 89 55 19 44 42 92 11 49 65 97 41 27 97 40 67 1782 0.20 0.08 0.05 
15 251 533 138 114 149 31 91 40 64 57 14 15 59 23 33 52 66 33 52 49 100 56 28 58 48 84 1980 0.13 0.03 0.20 
16 973 768 118 130 121 17 62 83 33 71 48 37 58 49 30 61 67 14 64 14 64 37 31 21 74 66 2400 0.04 0.14 0.18 
17 273 295 147 138 126 20 78 63 42 48 62 30 72 31 78 32 87 43 86 98 11 94 29 73 30 46 1701 0.10 0.09 0.17 
18 714 477 148 122 143 76 11 28 69 100 42 89 13 19 87 34 95 29 71 78 33 17 58 58 36 94 1884 0.19 0.10 0.17 
19 817 430 135 120 112 87 27 67 55 26 98 43 100 13 21 86 97 91 18 69 41 27 26 88 52 19 1512 0.07 0.07 0.12 
20 655 192 126 131 135 62 34 77 68 12 37 11 88 13 99 73 62 89 43 19 73 49 87 22 53 95 1458 0.12 0.08 0.06 
21 324 155 130 117 131 61 30 50 29 83 38 29 25 83 68 88 44 19 30 27 54 15 13 27 19 60 1812 0.06 0.09 0.11 
22 485 898 117 144 141 30 66 37 48 48 26 28 40 11 37 79 96 45 98 61 13 81 26 81 89 75 2148 0.04 0.13 0.14 
