40 1 5 3 888
875 355
4979 3720 3320 2080 0.01 
1 115 716 149 19 55 92 608 0.12 
2 780 169 106 54 28 29 732 0.18 
3 568 432 117 62 39 69 540 0.03 
4 383 453 144 76 26 19 552 0.05 
5 795 211 108 12 73 71 752 0.03 
6 82 731 101 90 53 42 660 0.04 
7 346 227 110 47 87 100 462 0.13 
8 866 704 110 25 94 83 628 0.17 
9 55 438 122 100 24 50 465 0.12 
10 655 754 150 17 66 73 585 0.04 
11 370 272 125 26 55 61 644 0.20 
12 84 420 111 15 33 91 656 0.13 
13 118 588 125 45 22 76 510 0.15 
14 194 510 104 38 81 64 504 0.20 
15 997 448 146 42 32 63 564 0.18 
16 19 506 121 11 80 95 776 0.16 
17 720 814 131 13 99 27 664 0.08 
18 493 130 139 97 36 79 788 0.13 
19 903 685 108 48 71 91 728 0.17 
20 929 689 139 82 64 65 594 0.13 
21 922 383 133 56 26 50 736 0.07 
22 10 940 117 17 76 68 612 0.07 
23 475 748 126 81 95 67 744 0.14 
24 443 118 148 57 15 88 640 0.14 
25 92 890 132 87 67 51 700 0.04 
26 608 295 111 51 52 33 546 0.01 
27 947 878 106 48 40 24 792 0.05 
28 787 834 139 51 69 65 465 0.01 
29 30 500 111 59 99 47 676 0.19 
30 656 249 119 63 30 31 597 0.17 
31 399 562 141 61 12 69 486 0.02 
32 411 568 111 35 11 81 600 0.15 
33 918 988 114 41 97 79 796 0.03 
34 112 296 128 96 22 95 688 0.09 
35 15 981 147 13 27 28 462 0.13 
36 930 469 117 17 87 13 504 0.17 
37 706 770 143 75 64 88 720 0.19 
38 264 716 122 94 94 45 672 0.02 
39 425 607 133 52 31 74 480 0.07 
40 293 473 115 96 13 20 600 0.04 
