40 3 3 3 4528
605 128
5025 4900 5078 5480 5000 4640 5000 5520 3160 3680 3720 4600 0.01 0.01 0.01 
1 479 541 106 115 112 53 94 27 89 88 88 58 13 58 2292 0.10 0.05 0.02 
2 541 920 124 147 147 93 64 81 36 47 93 84 43 90 1485 0.02 0.15 0.18 
3 196 897 119 107 141 50 11 25 32 86 85 78 78 87 1824 0.01 0.15 0.19 
4 662 609 145 115 111 15 42 72 30 18 91 29 24 78 1485 0.11 0.01 0.07 
5 615 86 147 132 147 19 32 49 12 70 58 17 46 20 1359 0.09 0.11 0.02 
6 682 190 114 134 143 57 96 63 37 39 64 64 26 36 1584 0.18 0.11 0.12 
7 994 358 118 125 113 19 49 86 85 88 30 46 52 70 1620 0.06 0.17 0.02 
8 166 48 145 136 112 48 39 24 63 99 81 92 90 68 2376 0.07 0.13 0.04 
9 878 294 140 103 103 59 13 100 87 60 96 95 11 59 1782 0.09 0.19 0.18 
10 290 353 108 103 121 89 21 95 14 54 75 83 79 12 2148 0.03 0.09 0.04 
11 554 110 126 120 144 88 97 26 52 25 85 49 48 90 2376 0.11 0.10 0.12 
12 753 941 143 141 143 100 87 62 27 50 28 70 31 73 1920 0.07 0.13 0.05 
13 526 822 133 149 114 44 63 51 68 38 85 32 12 33 2052 0.11 0.15 0.17 
14 841 786 103 109 143 58 36 26 20 85 52 52 76 84 2028 0.18 0.11 0.15 
15 519 170 118 115 148 83 15 78 19 79 39 94 78 91 2376 0.11 0.04 0.17 
16 359 203 139 108 113 95 91 86 84 56 76 86 93 62 2244 0.20 0.19 0.01 
17 881 454 111 137 150 61 25 62 13 49 67 18 53 16 1440 0.15 0.19 0.07 
18 937 203 102 125 127 71 19 59 33 86 50 41 75 46 1575 0.12 0.12 0.00 
19 947 916 147 124 103 81 97 98 76 97 83 36 24 77 1494 0.14 0.12 0.06 
20 523 733 149 106 138 84 81 81 57 16 41 43 55 73 1494 0.10 0.07 0.05 
21 318 647 107 104 101 49 69 69 23 14 23 33 82 13 1593 0.19 0.19 0.06 
22 698 133 118 116 134 36 33 83 20 18 28 29 23 89 1836 0.12 0.13 0.03 
23 6 56 140 107 148 85 44 45 34 62 84 59 75 47 1440 0.08 0.12 0.09 
24 674 5 126 127 108 86 17 52 42 64 45 15 67 46 1377 0.17 0.12 0.05 
25 316 923 127 144 141 21 35 62 73 23 78 72 17 43 1476 0.13 0.12 0.18 
26 636 996 108 102 143 81 71 42 38 45 18 86 72 68 1458 0.18 0.10 0.13 
27 342 843 124 113 106 70 70 36 32 41 65 20 59 40 2028 0.15 0.10 0.07 
28 425 908 148 109 108 81 61 85 33 28 92 70 70 17 2400 0.18 0.02 0.04 
29 712 636 123 111 137 32 77 67 62 96 75 64 64 53 1674 0.16 0.02 0.09 
30 165 673 114 116 102 58 62 56 12 47 91 92 12 81 1872 0.09 0.12 0.18 
31 280 79 124 142 147 11 39 49 67 44 18 39 95 35 2208 0.19 0.18 0.15 
32 562 677 117 123 149 25 74 73 35 58 14 56 75 80 2340 0.17 0.06 0.14 
33 196 35 142 133 107 16 13 44 79 48 40 66 40 83 1872 0.16 0.11 0.14 
34 379 771 126 114 105 47 64 40 95 67 86 46 60 86 1413 0.06 0.01 0.18 
35 735 653 113 115 118 81 97 91 34 59 32 21 64 93 1368 0.12 0.01 0.07 
36 112 785 103 120 103 76 83 35 30 52 11 22 30 79 1530 0.12 0.11 0.14 
37 791 130 149 146 136 96 45 61 35 22 59 51 61 91 1584 0.04 0.20 0.13 
38 548 434 133 135 145 53 65 82 89 43 20 57 31 90 2364 0.13 0.09 0.07 
39 146 854 137 126 123 25 81 75 96 62 92 61 97 89 1638 0.15 0.02 0.17 
40 592 389 109 146 144 20 45 76 89 54 84 20 94 34 2016 0.15 0.03 0.01 
