30 1 3 7 1112
153 703
3770 2610 2280 3930 2910 2040 3960 4110 0.01 
1 592 161 120 97 59 25 76 92 18 77 800 0.14 
2 358 649 123 59 51 76 11 36 18 19 585 0.09 
3 35 890 134 31 68 66 58 48 62 69 668 0.12 
4 230 218 149 13 11 90 15 72 100 17 510 0.01 
5 272 354 103 73 19 84 83 38 14 50 612 0.06 
6 492 91 135 94 54 46 59 26 100 60 588 0.18 
7 346 256 138 66 67 49 36 25 73 44 498 0.09 
8 126 534 110 75 58 82 70 73 75 23 528 0.02 
9 785 999 113 87 79 61 59 22 26 77 459 0.13 
10 971 933 119 92 30 12 11 96 39 20 632 0.15 
11 267 917 107 50 100 87 46 57 73 25 648 0.03 
12 247 436 124 86 51 85 83 90 38 12 594 0.12 
13 529 529 122 93 81 89 64 46 91 26 744 0.03 
14 322 735 141 40 38 23 89 37 98 39 456 0.12 
15 282 808 137 38 91 29 75 77 73 18 504 0.19 
16 282 949 107 95 36 45 44 65 74 33 608 0.11 
17 702 109 128 67 33 70 61 18 98 13 522 0.14 
18 707 249 122 47 98 26 12 48 72 37 624 0.06 
19 798 309 130 30 49 18 72 19 36 94 471 0.16 
20 888 181 136 23 30 61 15 39 60 12 543 0.13 
21 404 211 111 45 92 88 34 74 18 73 597 0.16 
22 570 608 113 54 49 61 43 51 73 24 628 0.09 
23 579 938 122 34 41 86 73 23 82 64 498 0.06 
24 496 268 135 62 72 37 48 95 80 86 616 0.09 
25 692 615 116 18 90 62 48 99 86 40 792 0.09 
26 61 607 120 85 62 86 24 82 47 85 462 0.07 
27 81 366 149 75 57 26 24 97 33 13 456 0.18 
28 388 482 118 53 65 26 77 30 100 90 772 0.02 
29 417 227 144 12 89 94 33 36 31 41 776 0.05 
30 22 165 144 20 99 43 33 97 85 87 519 0.14 
